R,TOA
1.95E+09,9.02E-08
1.98E+09,8.58E-08
2.02E+09,8.17E-08
2.05E+09,7.77E-08
2.09E+09,7.39E-08
2.12E+09,7.04E-08
2.16E+09,6.70E-08
2.19E+09,6.37E-08
2.23E+09,6.06E-08
2.27E+09,5.77E-08
2.31E+09,5.49E-08
2.35E+09,5.22E-08
2.39E+09,4.97E-08
2.43E+09,4.73E-08
2.47E+09,4.50E-08
2.51E+09,4.28E-08
2.56E+09,4.08E-08
2.60E+09,3.88E-08
2.65E+09,3.69E-08
2.69E+09,3.51E-08
2.74E+09,3.34E-08
2.78E+09,3.18E-08
2.83E+09,3.03E-08
2.88E+09,2.88E-08
2.93E+09,2.74E-08
2.98E+09,2.61E-08
3.03E+09,2.48E-08
3.08E+09,2.36E-08
3.13E+09,2.25E-08
3.19E+09,2.14E-08
3.24E+09,2.03E-08
3.30E+09,1.94E-08
3.36E+09,1.84E-08
3.41E+09,1.75E-08
3.47E+09,1.67E-08
3.53E+09,1.59E-08
3.59E+09,1.51E-08
3.65E+09,1.44E-08
3.71E+09,1.37E-08
3.78E+09,1.30E-08
3.84E+09,1.24E-08
3.91E+09,1.18E-08
3.98E+09,1.12E-08
4.04E+09,1.07E-08
4.11E+09,1.02E-08
4.18E+09,9.66E-09
4.26E+09,9.19E-09
4.33E+09,8.75E-09
4.40E+09,8.32E-09
4.48E+09,7.92E-09
4.55E+09,7.54E-09
4.63E+09,7.17E-09
4.71E+09,6.82E-09
4.79E+09,6.49E-09
4.87E+09,6.18E-09
4.96E+09,5.88E-09
5.04E+09,5.60E-09
5.13E+09,5.32E-09
5.22E+09,5.07E-09
5.31E+09,4.82E-09
5.40E+09,4.59E-09
5.49E+09,4.37E-09
5.58E+09,4.15E-09
5.68E+09,3.95E-09
5.78E+09,3.76E-09
5.87E+09,3.58E-09
5.98E+09,3.41E-09
6.08E+09,3.24E-09
6.18E+09,3.08E-09
6.29E+09,2.93E-09
6.40E+09,2.79E-09
6.50E+09,2.66E-09
6.62E+09,2.53E-09
6.73E+09,2.41E-09
6.84E+09,2.29E-09
6.96E+09,2.18E-09
7.08E+09,2.07E-09
7.20E+09,1.97E-09
7.33E+09,1.88E-09
7.45E+09,1.79E-09
7.58E+09,1.70E-09
7.71E+09,1.62E-09
7.84E+09,1.54E-09
7.97E+09,1.46E-09
8.11E+09,1.39E-09
8.25E+09,1.33E-09
8.39E+09,1.26E-09
8.53E+09,1.20E-09
8.68E+09,1.14E-09
8.83E+09,1.09E-09
8.98E+09,1.03E-09
9.13E+09,9.85E-10
9.29E+09,9.37E-10
9.45E+09,8.92E-10
9.61E+09,8.48E-10
9.78E+09,8.07E-10
9.94E+09,7.68E-10
1.01E+10,7.31E-10
1.03E+10,6.96E-10
1.05E+10,6.62E-10
1.06E+10,6.30E-10
1.08E+10,5.99E-10
1.10E+10,5.70E-10
1.12E+10,5.43E-10
1.14E+10,5.16E-10
1.16E+10,4.91E-10
1.18E+10,4.68E-10
1.20E+10,4.45E-10
1.22E+10,4.24E-10
1.24E+10,4.03E-10
1.26E+10,3.84E-10
1.28E+10,3.65E-10
1.30E+10,3.47E-10
1.33E+10,3.30E-10
1.35E+10,3.14E-10
1.37E+10,2.99E-10
1.40E+10,2.85E-10
1.42E+10,2.71E-10
1.44E+10,2.58E-10
1.47E+10,2.45E-10
1.49E+10,2.34E-10
1.52E+10,2.22E-10
1.55E+10,2.11E-10
1.57E+10,2.01E-10
1.60E+10,1.92E-10
1.63E+10,1.82E-10
1.65E+10,1.73E-10
1.68E+10,1.65E-10
1.71E+10,1.57E-10
1.74E+10,1.49E-10
1.77E+10,1.42E-10
1.80E+10,1.35E-10
1.83E+10,1.29E-10
1.86E+10,1.23E-10
1.90E+10,1.17E-10
1.93E+10,1.11E-10
1.96E+10,1.06E-10
1.99E+10,1.01E-10
2.03E+10,9.57E-11
2.06E+10,9.10E-11
2.10E+10,8.66E-11
2.13E+10,8.24E-11
2.17E+10,7.85E-11
2.21E+10,7.47E-11
2.25E+10,7.11E-11
2.28E+10,6.76E-11
2.32E+10,6.44E-11
2.36E+10,6.12E-11
2.40E+10,5.83E-11
2.44E+10,5.55E-11
2.49E+10,5.28E-11
2.53E+10,5.02E-11
2.57E+10,4.78E-11
2.62E+10,4.55E-11
2.66E+10,4.33E-11
2.71E+10,4.12E-11
2.75E+10,3.92E-11
2.80E+10,3.73E-11
2.85E+10,3.55E-11
2.90E+10,3.38E-11
2.95E+10,3.22E-11
3.00E+10,3.06E-11
3.05E+10,2.91E-11
3.10E+10,2.77E-11
3.15E+10,2.64E-11
3.21E+10,2.51E-11
3.26E+10,2.39E-11
3.32E+10,2.27E-11
3.38E+10,2.16E-11
3.43E+10,2.06E-11
3.49E+10,1.96E-11
3.55E+10,1.87E-11
3.61E+10,1.78E-11
3.67E+10,1.69E-11
3.74E+10,1.61E-11
3.80E+10,1.53E-11
3.87E+10,1.46E-11
3.93E+10,1.39E-11
4.00E+10,1.32E-11
4.07E+10,1.26E-11
4.14E+10,1.20E-11
4.21E+10,1.14E-11
4.28E+10,1.08E-11
4.35E+10,1.03E-11
4.43E+10,9.81E-12
4.50E+10,9.33E-12
4.58E+10,8.88E-12
4.66E+10,8.45E-12
4.74E+10,8.05E-12
4.82E+10,7.66E-12
4.90E+10,7.29E-12
4.99E+10,6.94E-12
5.07E+10,6.60E-12
5.16E+10,6.28E-12
5.25E+10,5.98E-12
5.34E+10,5.69E-12
5.43E+10,5.42E-12
5.52E+10,5.16E-12
5.62E+10,4.91E-12
5.71E+10,4.67E-12
5.81E+10,4.45E-12
5.91E+10,4.23E-12
6.01E+10,4.03E-12
6.11E+10,3.83E-12
6.22E+10,3.65E-12
6.33E+10,3.47E-12
6.43E+10,3.31E-12
6.54E+10,3.15E-12
6.66E+10,3.00E-12
6.77E+10,2.85E-12
6.89E+10,2.71E-12
7.00E+10,2.58E-12
7.12E+10,2.46E-12
7.25E+10,2.34E-12
7.37E+10,2.23E-12
7.50E+10,2.12E-12
7.62E+10,2.02E-12
7.75E+10,1.92E-12
7.89E+10,1.83E-12
8.02E+10,1.74E-12
8.16E+10,1.66E-12
8.30E+10,1.58E-12
8.44E+10,1.50E-12
8.59E+10,1.43E-12
8.73E+10,1.36E-12
8.88E+10,1.29E-12
9.03E+10,1.23E-12
9.19E+10,1.17E-12
9.35E+10,1.12E-12
9.51E+10,1.06E-12
9.67E+10,1.01E-12
9.83E+10,9.63E-13
1.00E+11,9.17E-13
1.02E+11,8.72E-13
1.03E+11,8.31E-13
1.05E+11,7.91E-13
1.07E+11,7.53E-13
1.09E+11,7.16E-13
1.11E+11,6.82E-13
1.13E+11,6.49E-13
1.15E+11,6.18E-13
1.17E+11,5.88E-13
1.19E+11,5.60E-13
1.21E+11,5.33E-13
1.23E+11,5.07E-13
1.25E+11,4.83E-13
1.27E+11,4.60E-13
1.29E+11,4.38E-13
1.31E+11,4.17E-13
1.33E+11,3.97E-13
1.36E+11,3.78E-13
1.38E+11,3.60E-13
1.40E+11,3.42E-13
1.43E+11,3.26E-13
1.45E+11,3.10E-13
1.48E+11,2.95E-13
1.50E+11,2.81E-13
1.53E+11,2.68E-13
1.56E+11,2.55E-13
1.58E+11,2.43E-13
1.61E+11,2.31E-13
1.64E+11,2.20E-13
1.66E+11,2.09E-13
1.69E+11,1.99E-13
1.72E+11,1.90E-13
1.75E+11,1.81E-13
1.78E+11,1.72E-13
1.81E+11,1.64E-13
1.84E+11,1.56E-13
1.87E+11,1.48E-13
1.91E+11,1.41E-13
1.94E+11,1.34E-13
1.97E+11,1.28E-13
2.01E+11,1.22E-13
2.04E+11,1.16E-13
